name
1С
БЭСТ
SUN
CMS
MS Office
Architecture
Hibernate
Java
С++
PHP
JavaScript
Phyton
XML
HTM
SQL
JPQL
SVN
Maven
Archiva
CruiseControl
MS SQL Server
PostgreSQL
MySQL
Коммуникационные навыки
Аналитические способности
Креативное мышление
Работа в команде
Умение решать проблемы
Организационные навыки
Адаптивность
Эффективное управление временем
Владение техническими инструментами и программным обеспечением
Знание языков программирования (если применимо)
Владение иностранными языками
Умение работать с базами данных
Лидерские качества
Умение обучать и менторить других
Понимание бизнес-процессов и стратегий
