name
Администратор конференции
Делопроизводитель
Консультант по финансовой помощи
Кредитный аналитик
Кредитный консультант
Кредитный советник
Менеджер по кадрам
Организатор съезда
Офис-менеджер
Помощник по административной работе
Работник мандатной комиссии
Работник регистратуры в поликлинике
Ревизор банка
Референт
Секретарь/личный помощник руководителя
Секретарь суда
Сотрудник службы недвижимости
Сотрудник денежного хранилища
Технический специалист
Участковый инспектор милиции
Школьный секретарь
Эксперт по правовым титулам
Билетёр
Консьерж
Коридорный/посыльный в гостинице
Менеджер в общепите/заведующий кафе
Массажист
Мастер маникюра и педикюра
Мастер по наращиванию и дизайну ногтей
Носильщик
Оператор подъемника (для лыжников)
Поставщик продуктов питания
Работник вокзального буфета/кафетерия
Сотрудник багажного отделения в аэропорту
Швейцар
Инспектор отдела обработки корреспонденции
Клерк по информации и документации
Офисный служащий
Работник отдела почтовых рассылок
Регистратор/служащий в приемной
Верстальщик
Наборщик текстов
Обработчик микрофильмов/микрофишей
Оператор наборной машины
Оператор отдела проверки
Оператор по вводу данных
Печатник
Работник отдела ксерокопии
Фонотипист
Работник автостоянки
Работник ресторана быстрого питания
Работник службы доставки/грузчик
Разносчик газет
Сотрудник розничной торговли
Банковский сотрудник-консультант
Кассир
Кондуктор/контролёр
Операционист банка
Работник на кассовом аппарате
Работник почтового отделения
Сборщик платежей по счетам
Дворецкий
Директор молодежной ассоциации/клуба
Менеджер ресторана
Метрдотель
Няня/детская сиделка
Организатор развлекательных мероприятий
Официант(-ка)/уборщица
Распорядитель на похоронах
Стюардесса/бортпроводник
Проводник пассажирских вагонов
Аудитор
Бухгалтер
Бухгалтер по дебиторской задолженности
Бухгалтер по кредиторской задолженности
Бухгалтер по начислению заработной платы
Бухгалтер-ревизор
Секретарь по учету законопроектов
Служащий рекламного отдела
Специалист по весовому анализу
Специалист по налоговым декларациям
Специалист по налогообложению
Счетовод
Фактурщик (служащий по счетам-фактурам)
Финансовый учетчик/регистратор
Эксперт/оценщик страховых убытков
Агент отдела бронирования
Администратор гостиницы
Диспетчер в аэропорту
Диспетчер службы такси
Диспетчер пожарной службы
Инспектор по работе с клиентами
Консультант правительственного ведомства
Медработник в приемном покое
Оператор колл-центра
Оператор на коммутаторе
Оператор справочной службы
Представитель отдела по работе с клиентами
Радиооператор в авиакомпании
Секретарь приемной
Специалист по технической поддержке
Корректор
Менеджер по кредитам
Медицинский статистик
Мерчендайзер
Наборщик титров к видеоматериалам
Работник по обзору корреспонденции
Специалист по управлению данными
Специалист по учету налогов
Стенографист
Сотрудник по ведению корреспонденции
Судебный секретарь-протоколист
Съемщик показаний счетчиков
Учётчик данных по ипотечным выплатам
Эксперт по авторскому праву
Водитель автобуса/троллейбуса
Водитель автобуса-экспресса в аэропорту
Водитель грузовика
