name
Найдёт и предоставит релевантное резюме
Проведёт с кандидатом интервью
Организует собеседование с заказчиком
Запросить рекомендации с предыдущих мест работы
Отправить кандидату тестовое задание
Отправить кандидату анкету службы безопасности
Отправит финалисту приглашение на работу
