name
А1 — начальный или Beginner
А2 — элементарный или Elementary
B1 — пороговый или Pre-Intermediate/Intermediate
B2 — промежуточный или Upper Intermediate
C1 — продвинутый или Advanced
C2 — совершенный или Proficiency
